Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Grid_Suite,Chrome 67.0.3396.99,,2018-07-06 12:26:23,2018-07-06 12:40:15,13m - 51.976s,FAILED
,,,,,,
Test Cases/Smoke Test/Delete Grid Views,Chrome 67.0.3396.99,,2018-07-06 12:26:24,2018-07-06 12:31:56,5m - 31.873s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-06 12:26:25,2018-07-06 12:26:42,17.601s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-06 12:26:42,2018-07-06 12:26:44,1.204s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-06 12:26:44,2018-07-06 12:27:07,22.943s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-06 12:27:07,2018-07-06 12:27:07,0.634s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-06 12:27:07,2018-07-06 12:27:08,0.621s,PASSED
click,Chrome 67.0.3396.99,,2018-07-06 12:27:08,2018-07-06 12:27:11,3.257s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-06 12:27:11,2018-07-06 12:27:11,0.268s,PASSED
click,Chrome 67.0.3396.99,,2018-07-06 12:27:11,2018-07-06 12:27:12,0.881s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-06 12:27:12,2018-07-06 12:27:12,0.032s,PASSED
Statement - returnVal_View = delete(5),Chrome 67.0.3396.99,,2018-07-06 12:27:12,2018-07-06 12:27:12,0.002s,PASSED
"Statement - path = ""D:\Sheepa\Katalon\Studio Smoke Test\Studio Smoke Test\Data Files\Grid_view_id.xls""",Chrome 67.0.3396.99,,2018-07-06 12:27:12,2018-07-06 12:27:12,0.003s,PASSED
Statement - fis = new java.io.FileInputStream(path),Chrome 67.0.3396.99,,2018-07-06 12:27:12,2018-07-06 12:27:12,0.017s,PASSED
Statement - hssfWorkbook = new org.apache.poi.hssf.usermodel.HSSFWorkbook(fis),Chrome 67.0.3396.99,,2018-07-06 12:27:12,2018-07-06 12:27:13,0.575s,PASSED
Statement - sc = hssfWorkbook.getNumberOfSheets(),Chrome 67.0.3396.99,,2018-07-06 12:27:13,2018-07-06 12:27:13,0.036s,PASSED
Statement - println(sc),Chrome 67.0.3396.99,,2018-07-06 12:27:13,2018-07-06 12:27:13,0.050s,PASSED
Statement - hssfSheet = hssfWorkbook.getSheetAt(0),Chrome 67.0.3396.99,,2018-07-06 12:27:13,2018-07-06 12:27:13,0.004s,PASSED
Statement - hssfRow = hssfSheet.getRow(1),Chrome 67.0.3396.99,,2018-07-06 12:27:13,2018-07-06 12:27:13,0.022s,PASSED
"Statement - For ([i = 0, i <= j, (i++)])",Chrome 67.0.3396.99,,2018-07-06 12:27:13,2018-07-06 12:29:19,2m - 5.662s,FAILED
Statement - return done,Chrome 67.0.3396.99,,2018-07-06 12:29:19,2018-07-06 12:29:19,0.001s,PASSED
"Statement - println(""View "" + returnVal_View)",Chrome 67.0.3396.99,,2018-07-06 12:29:19,2018-07-06 12:29:19,0.001s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 12:29:19,2018-07-06 12:29:24,5.002s,PASSED
click,Chrome 67.0.3396.99,,2018-07-06 12:29:24,2018-07-06 12:29:24,0.307s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-06 12:29:24,2018-07-06 12:29:24,0.021s,PASSED
Statement - returnVal_App = deleteApp(6),Chrome 67.0.3396.99,,2018-07-06 12:29:24,2018-07-06 12:29:24,0.001s,PASSED
"Statement - path = ""D:\Sheepa\Katalon\Studio Smoke Test\Studio Smoke Test\Data Files\Grid_view_id.xls""",Chrome 67.0.3396.99,,2018-07-06 12:29:24,2018-07-06 12:29:24,0.000s,PASSED
Statement - fis = new java.io.FileInputStream(path),Chrome 67.0.3396.99,,2018-07-06 12:29:24,2018-07-06 12:29:24,0.006s,PASSED
