Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebService_Suite,Chrome 67.0.3396.99,,2018-07-27 09:55:02,2018-07-27 10:01:57,6m - 54.999s,FAILED
,,,,,,
Test Cases/Smoke Test/New WebService Connection,Chrome 67.0.3396.99,New_Create New Connection,2018-07-27 09:55:03,2018-07-27 09:57:03,1m - 59.934s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-27 09:55:04,2018-07-27 09:55:13,9.417s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-27 09:55:13,2018-07-27 09:55:14,1.280s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-27 09:55:14,2018-07-27 09:55:36,21.641s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 67.0.3396.99,,2018-07-27 09:55:36,2018-07-27 09:55:39,3.010s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 09:55:39,2018-07-27 09:55:39,0.404s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 09:55:39,2018-07-27 09:55:40,0.209s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 09:55:40,2018-07-27 09:55:41,1.694s,PASSED
Statement - returnVal_View = delete(),Chrome 67.0.3396.99,,2018-07-27 09:55:41,2018-07-27 09:55:41,0.002s,PASSED
"Statement - selectconn = ""(//span[contains(text(),'"" + com.kms.katalon.core.testdata.TestDataFactory.findTestData(Database).getValue(""Connection_Name"", 3) + ""')])[1]""",Chrome 67.0.3396.99,,2018-07-27 09:55:41,2018-07-27 09:55:42,0.904s,PASSED
Statement - println(selectconn),Chrome 67.0.3396.99,,2018-07-27 09:55:42,2018-07-27 09:55:42,0.005s,PASSED
"Statement - dynamicObject = new com.kms.katalon.core.testobject.TestObject(selectconn).addProperty(""xpath"", EQUALS, selectconn, true)",Chrome 67.0.3396.99,,2018-07-27 09:55:42,2018-07-27 09:55:42,0.025s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:55:42,2018-07-27 09:55:50,8.040s,PASSED
"Statement - present = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementNotPresent(dynamicObject, 4, CONTINUE_ON_FAILURE)",Chrome 67.0.3396.99,,2018-07-27 09:55:50,2018-07-27 09:55:55,4.935s,FAILED
"Statement - If (java.lang.String.valueOf(present) == ""false"")",Chrome 67.0.3396.99,,2018-07-27 09:55:55,2018-07-27 09:56:06,10.969s,PASSED
Statement - return done,Chrome 67.0.3396.99,,2018-07-27 09:56:06,2018-07-27 09:56:06,0.005s,PASSED
"Statement - println(""View "" + returnVal_View)",Chrome 67.0.3396.99,,2018-07-27 09:56:06,2018-07-27 09:56:06,0.003s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:56:06,2018-07-27 09:56:11,5.004s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 09:56:11,2018-07-27 09:56:11,0.177s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 09:56:11,2018-07-27 09:56:12,0.267s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:56:12,2018-07-27 09:56:17,5.011s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 09:56:17,2018-07-27 09:56:17,0.450s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 09:56:17,2018-07-27 09:56:17,0.217s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:56:17,2018-07-27 09:56:20,3.002s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 09:56:20,2018-07-27 09:56:21,0.596s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:56:21,2018-07-27 09:56:23,2.005s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-27 09:56:23,2018-07-27 09:56:23,0.004s,NOT_RUN
delay,Chrome 67.0.3396.99,,2018-07-27 09:56:23,2018-07-27 09:56:23,0.002s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-27 09:56:23,2018-07-27 09:56:23,0.444s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:56:23,2018-07-27 09:56:26,3.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 09:56:26,2018-07-27 09:56:27,0.236s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:56:27,2018-07-27 09:56:30,3.004s,PASSED
"Statement - dataSource = ""(//span[contains(text(),'"" + com.kms.katalon.core.testdata.TestDataFactory.findTestData(Database).getValue(""Connection_Name"", 3) + ""')])[1]""",Chrome 67.0.3396.99,,2018-07-27 09:56:30,2018-07-27 09:56:30,0.031s,PASSED
Statement - println(dataSource),Chrome 67.0.3396.99,,2018-07-27 09:56:30,2018-07-27 09:56:30,0.000s,PASSED
"Statement - dynamicObject = new com.kms.katalon.core.testobject.TestObject(dataSource).addProperty(""xpath"", EQUALS, dataSource, true)",Chrome 67.0.3396.99,,2018-07-27 09:56:30,2018-07-27 09:56:30,0.016s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-27 09:56:30,2018-07-27 09:56:30,0.152s,PASSED
rightClick,Chrome 67.0.3396.99,,2018-07-27 09:56:30,2018-07-27 09:56:30,0.115s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 09:56:30,2018-07-27 09:56:30,0.160s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:56:30,2018-07-27 09:56:32,2.005s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 09:56:32,2018-07-27 09:56:32,0.227s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:56:32,2018-07-27 09:56:34,2.001s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 09:56:34,2018-07-27 09:56:35,0.344s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 09:56:35,2018-07-27 09:56:35,0.396s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:56:35,2018-07-27 09:56:37,2.004s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-27 09:56:37,2018-07-27 09:56:37,0.004s,NOT_RUN
delay,Chrome 67.0.3396.99,,2018-07-27 09:56:37,2018-07-27 09:56:37,0.003s,NOT_RUN
setText,Chrome 67.0.3396.99,,2018-07-27 09:56:37,2018-07-27 09:56:37,0.390s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:56:37,2018-07-27 09:56:39,2.003s,PASSED
Statement - j = 3,Chrome 67.0.3396.99,,2018-07-27 09:56:39,2018-07-27 09:56:39,0.001s,PASSED
"Statement - For ([i = 1, i <= 3, (i++)])",Chrome 67.0.3396.99,,2018-07-27 09:56:39,2018-07-27 09:56:54,14.623s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:56:54,2018-07-27 09:56:56,2.005s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 09:56:56,2018-07-27 09:56:56,0.425s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:56:56,2018-07-27 09:56:59,3.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 09:56:59,2018-07-27 09:57:00,0.203s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:57:00,2018-07-27 09:57:03,3.004s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 09:57:03,2018-07-27 09:57:03,0.227s,PASSED
,,,,,,
Test Cases/Smoke Test/New WebService AppDesigner,Chrome 67.0.3396.99,New_Create New Connection,2018-07-27 09:57:03,2018-07-27 09:59:08,2m - 5.055s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-27 09:57:03,2018-07-27 09:57:09,5.919s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-27 09:57:09,2018-07-27 09:57:10,1.166s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-27 09:57:10,2018-07-27 09:57:32,21.616s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 67.0.3396.99,,2018-07-27 09:57:32,2018-07-27 09:57:35,3.004s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 09:57:35,2018-07-27 09:57:35,0.234s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 09:57:35,2018-07-27 09:57:35,0.169s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 09:57:35,2018-07-27 09:57:37,1.971s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:57:37,2018-07-27 09:57:40,3.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 09:57:40,2018-07-27 09:57:41,0.193s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:57:41,2018-07-27 09:57:44,3.005s,PASSED
Statement - appDel = delete(),Chrome 67.0.3396.99,,2018-07-27 09:57:44,2018-07-27 09:57:44,0.000s,PASSED
"Statement - selectconn = ""(//div[contains(text(),'AUTO_APP')])[1]""",Chrome 67.0.3396.99,,2018-07-27 09:57:44,2018-07-27 09:57:44,0.000s,PASSED
Statement - println(selectconn),Chrome 67.0.3396.99,,2018-07-27 09:57:44,2018-07-27 09:57:44,0.000s,PASSED
"Statement - dynamicObject = new com.kms.katalon.core.testobject.TestObject(selectconn).addProperty(""xpath"", EQUALS, selectconn, true)",Chrome 67.0.3396.99,,2018-07-27 09:57:44,2018-07-27 09:57:44,0.000s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-27 09:57:44,2018-07-27 09:57:50,6.001s,PASSED
