Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Request_Moduler,Chrome 67.0.3396.99,,2018-07-03 10:24:31,2018-07-03 10:30:38,6m - 7.627s,FAILED
,,,,,,
Test Cases/Studio Smoke Test Cases/Common Functions,Chrome 67.0.3396.99,,2018-07-03 10:24:31,2018-07-03 10:24:34,2.180s,PASSED
Statement - digi = generateRandomInt(9999999),Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.010s,PASSED
Statement - random = new java.util.Random(),Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.005s,PASSED
Statement - return random.nextInt(upperRange),Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.004s,PASSED
Statement - acc = generateRandomInt(999999999),Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.002s,PASSED
Statement - random = new java.util.Random(),Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.002s,PASSED
Statement - return random.nextInt(upperRange),Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.001s,PASSED
Statement - accNo = java.lang.String.valueOf(acc),Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.003s,PASSED
Statement - println(accNo),Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.006s,PASSED
"Statement - form_id = ""F"" + digi",Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.001s,PASSED
Statement - println(form_id),Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.002s,PASSED
"Statement - view_id = ""AV"" + digi",Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.002s,PASSED
Statement - println(view_id),Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.001s,PASSED
"Statement - app_id = ""AA"" + digi",Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.002s,PASSED
Statement - println(app_id),Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.002s,PASSED
"Statement - subWS_id = ""ASUB"" + digi",Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.002s,PASSED
Statement - println(subWS_id),Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.002s,PASSED
"Statement - WS_id = ""AWS"" + digi",Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.004s,PASSED
Statement - println(WS_id),Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.003s,PASSED
"Statement - req_id = ""AR"" + digi",Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.001s,PASSED
Statement - println(req_id),Chrome 67.0.3396.99,,2018-07-03 10:24:32,2018-07-03 10:24:32,0.002s,PASSED
