Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Grid_Suite,Chrome 67.0.3396.99,,2018-06-29 13:10:26,2018-06-29 13:23:33,13m - 6.968s,FAILED
,,,,,,
Test Cases/Smoke Test/Delete Grid Views,Chrome 67.0.3396.99,,2018-06-29 13:10:26,2018-06-29 13:15:38,5m - 11.229s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-06-29 13:10:27,2018-06-29 13:10:33,5.208s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-06-29 13:10:33,2018-06-29 13:10:34,1.177s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-06-29 13:10:34,2018-06-29 13:10:55,21.643s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-29 13:10:55,2018-06-29 13:10:56,0.338s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-29 13:10:56,2018-06-29 13:10:56,0.169s,PASSED
click,Chrome 67.0.3396.99,,2018-06-29 13:10:56,2018-06-29 13:10:58,2.162s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-29 13:10:58,2018-06-29 13:10:58,0.417s,PASSED
click,Chrome 67.0.3396.99,,2018-06-29 13:10:58,2018-06-29 13:11:00,1.296s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-29 13:11:00,2018-06-29 13:11:00,0.040s,PASSED
Statement - returnVal_View = delete(5),Chrome 67.0.3396.99,,2018-06-29 13:11:00,2018-06-29 13:11:00,0.002s,PASSED
"Statement - path = ""D:\Sheepa\Katalon\Studio Smoke Test\Studio Smoke Test\Data Files\Grid_view_id.xls""",Chrome 67.0.3396.99,,2018-06-29 13:11:00,2018-06-29 13:11:00,0.001s,PASSED
Statement - fis = new java.io.FileInputStream(path),Chrome 67.0.3396.99,,2018-06-29 13:11:00,2018-06-29 13:11:00,0.029s,PASSED
Statement - hssfWorkbook = new org.apache.poi.hssf.usermodel.HSSFWorkbook(fis),Chrome 67.0.3396.99,,2018-06-29 13:11:00,2018-06-29 13:11:00,0.342s,PASSED
Statement - sc = hssfWorkbook.getNumberOfSheets(),Chrome 67.0.3396.99,,2018-06-29 13:11:00,2018-06-29 13:11:00,0.003s,PASSED
Statement - println(sc),Chrome 67.0.3396.99,,2018-06-29 13:11:00,2018-06-29 13:11:00,0.005s,PASSED
Statement - hssfSheet = hssfWorkbook.getSheetAt(0),Chrome 67.0.3396.99,,2018-06-29 13:11:00,2018-06-29 13:11:00,0.005s,PASSED
Statement - hssfRow = hssfSheet.getRow(1),Chrome 67.0.3396.99,,2018-06-29 13:11:00,2018-06-29 13:11:00,0.026s,PASSED
"Statement - For ([i = 0, i <= j, (i++)])",Chrome 67.0.3396.99,,2018-06-29 13:11:00,2018-06-29 13:13:03,2m - 2.371s,FAILED
Statement - return done,Chrome 67.0.3396.99,,2018-06-29 13:13:03,2018-06-29 13:13:03,0.000s,PASSED
"Statement - println(""View "" + returnVal_View)",Chrome 67.0.3396.99,,2018-06-29 13:13:03,2018-06-29 13:13:03,0.000s,PASSED
delay,Chrome 67.0.3396.99,,2018-06-29 13:13:03,2018-06-29 13:13:08,5.003s,PASSED
click,Chrome 67.0.3396.99,,2018-06-29 13:13:08,2018-06-29 13:13:08,0.237s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-29 13:13:08,2018-06-29 13:13:08,0.017s,PASSED
Statement - returnVal_App = deleteApp(6),Chrome 67.0.3396.99,,2018-06-29 13:13:08,2018-06-29 13:13:08,0.001s,PASSED
