Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Grid_Suite,Chrome 67.0.3396.99,,2018-06-28 12:40:05,2018-06-28 12:49:51,9m - 46.134s,ERROR
,,,,,,
Test Cases/Smoke Test/Delete Grid Views,Chrome 67.0.3396.99,,2018-06-28 12:40:06,2018-06-28 12:41:56,1m - 50.327s,ERROR
openBrowser,Chrome 67.0.3396.99,,2018-06-28 12:40:06,2018-06-28 12:40:11,5.051s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-06-28 12:40:11,2018-06-28 12:40:13,1.189s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-06-28 12:40:13,2018-06-28 12:40:34,21.568s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 12:40:34,2018-06-28 12:40:35,0.346s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 12:40:35,2018-06-28 12:40:35,0.168s,PASSED
click,Chrome 67.0.3396.99,,2018-06-28 12:40:35,2018-06-28 12:40:36,1.535s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-28 12:40:36,2018-06-28 12:40:37,0.333s,PASSED
click,Chrome 67.0.3396.99,,2018-06-28 12:40:37,2018-06-28 12:40:37,0.788s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-28 12:40:37,2018-06-28 12:40:37,0.070s,PASSED
Statement - returnVal_View = delete(5),Chrome 67.0.3396.99,,2018-06-28 12:40:37,2018-06-28 12:40:37,0.002s,PASSED
"Statement - path = ""D:\Sheepa\Katalon\Studio Smoke Test\Studio Smoke Test\Data Files\Grid_view_id.xls""",Chrome 67.0.3396.99,,2018-06-28 12:40:37,2018-06-28 12:40:37,0.001s,PASSED
Statement - fis = new java.io.FileInputStream(path),Chrome 67.0.3396.99,,2018-06-28 12:40:37,2018-06-28 12:40:37,0.017s,PASSED
Statement - hssfWorkbook = new org.apache.poi.hssf.usermodel.HSSFWorkbook(fis),Chrome 67.0.3396.99,,2018-06-28 12:40:37,2018-06-28 12:40:38,0.335s,PASSED
Statement - sc = hssfWorkbook.getNumberOfSheets(),Chrome 67.0.3396.99,,2018-06-28 12:40:38,2018-06-28 12:40:38,0.003s,PASSED
Statement - println(sc),Chrome 67.0.3396.99,,2018-06-28 12:40:38,2018-06-28 12:40:38,0.004s,PASSED
Statement - hssfSheet = hssfWorkbook.getSheetAt(0),Chrome 67.0.3396.99,,2018-06-28 12:40:38,2018-06-28 12:40:38,0.002s,PASSED
Statement - hssfRow = hssfSheet.getRow(1),Chrome 67.0.3396.99,,2018-06-28 12:40:38,2018-06-28 12:40:38,0.018s,PASSED
"Statement - For ([i = 0, i <= j, (i++)])",Chrome 67.0.3396.99,,2018-06-28 12:40:38,2018-06-28 12:41:08,30.570s,PASSED
Statement - return done,Chrome 67.0.3396.99,,2018-06-28 12:41:08,2018-06-28 12:41:08,0.001s,PASSED
"Statement - println(""View "" + returnVal_View)",Chrome 67.0.3396.99,,2018-06-28 12:41:08,2018-06-28 12:41:08,0.001s,PASSED
delay,Chrome 67.0.3396.99,,2018-06-28 12:41:08,2018-06-28 12:41:13,5.004s,PASSED
click,Chrome 67.0.3396.99,,2018-06-28 12:41:13,2018-06-28 12:41:14,0.276s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-28 12:41:14,2018-06-28 12:41:14,0.254s,PASSED
Statement - returnVal_App = deleteApp(6),Chrome 67.0.3396.99,,2018-06-28 12:41:14,2018-06-28 12:41:14,0.002s,PASSED
"Statement - path = ""D:\Sheepa\Katalon\Studio Smoke Test\Studio Smoke Test\Data Files\Grid_view_id.xls""",Chrome 67.0.3396.99,,2018-06-28 12:41:14,2018-06-28 12:41:14,0.001s,PASSED
Statement - fis = new java.io.FileInputStream(path),Chrome 67.0.3396.99,,2018-06-28 12:41:14,2018-06-28 12:41:14,0.004s,PASSED
Statement - hssfWorkbook = new org.apache.poi.hssf.usermodel.HSSFWorkbook(fis),Chrome 67.0.3396.99,,2018-06-28 12:41:14,2018-06-28 12:41:14,0.005s,PASSED
Statement - sc = hssfWorkbook.getNumberOfSheets(),Chrome 67.0.3396.99,,2018-06-28 12:41:14,2018-06-28 12:41:14,0.001s,PASSED
Statement - println(sc),Chrome 67.0.3396.99,,2018-06-28 12:41:14,2018-06-28 12:41:14,0.002s,PASSED
Statement - hssfSheet = hssfWorkbook.getSheetAt(0),Chrome 67.0.3396.99,,2018-06-28 12:41:14,2018-06-28 12:41:14,0.001s,PASSED
Statement - hssfRow = hssfSheet.getRow(1),Chrome 67.0.3396.99,,2018-06-28 12:41:14,2018-06-28 12:41:14,0.000s,PASSED
"Statement - For ([i = 0, i <= j, (i++)])",Chrome 67.0.3396.99,,2018-06-28 12:41:14,2018-06-28 12:41:49,35.418s,PASSED
Statement - return done,Chrome 67.0.3396.99,,2018-06-28 12:41:49,2018-06-28 12:41:49,0.000s,PASSED
"Statement - println(""App "" + returnVal_App)",Chrome 67.0.3396.99,,2018-06-28 12:41:49,2018-06-28 12:41:49,0.000s,PASSED
delay,Chrome 67.0.3396.99,,2018-06-28 12:41:49,2018-06-28 12:41:52,3.002s,PASSED
click,Chrome 67.0.3396.99,,2018-06-28 12:41:52,2018-06-28 12:41:53,0.249s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-28 12:41:53,2018-06-28 12:41:53,0.177s,PASSED
Statement - returnVal_WS = deleteWS(),Chrome 67.0.3396.99,,2018-06-28 12:41:53,2018-06-28 12:41:53,0.001s,PASSED
"Statement - path = ""D:\Sheepa\Katalon\Studio Smoke Test\Studio Smoke Test\Data Files\Grid_view_id.xls""",Chrome 67.0.3396.99,,2018-06-28 12:41:53,2018-06-28 12:41:53,0.001s,PASSED
Statement - fis = new java.io.FileInputStream(path),Chrome 67.0.3396.99,,2018-06-28 12:41:53,2018-06-28 12:41:53,0.005s,PASSED
Statement - hssfWorkbook = new org.apache.poi.hssf.usermodel.HSSFWorkbook(fis),Chrome 67.0.3396.99,,2018-06-28 12:41:53,2018-06-28 12:41:53,0.008s,PASSED
Statement - sc = hssfWorkbook.getNumberOfSheets(),Chrome 67.0.3396.99,,2018-06-28 12:41:53,2018-06-28 12:41:53,0.001s,PASSED
Statement - println(sc),Chrome 67.0.3396.99,,2018-06-28 12:41:53,2018-06-28 12:41:53,0.000s,PASSED
Statement - hssfSheet = hssfWorkbook.getSheetAt(0),Chrome 67.0.3396.99,,2018-06-28 12:41:53,2018-06-28 12:41:53,0.001s,PASSED
Statement - hssfRow = hssfSheet.getRow(1),Chrome 67.0.3396.99,,2018-06-28 12:41:53,2018-06-28 12:41:53,0.000s,PASSED
Statement - id = hssfRow.getCell(6),Chrome 67.0.3396.99,,2018-06-28 12:41:53,2018-06-28 12:41:53,0.000s,PASSED
"Statement - selectWS = ""//span[contains(text(),'"" + id + ""')]""",Chrome 67.0.3396.99,,2018-06-28 12:41:53,2018-06-28 12:41:53,0.001s,PASSED
Statement - println(selectWS),Chrome 67.0.3396.99,,2018-06-28 12:41:53,2018-06-28 12:41:53,0.001s,PASSED
"Statement - ws = new com.kms.katalon.core.testobject.TestObject(selectWS).addProperty(""xpath"", EQUALS, selectWS, true)",Chrome 67.0.3396.99,,2018-06-28 12:41:53,2018-06-28 12:41:53,0.001s,PASSED
delay,Chrome 67.0.3396.99,,2018-06-28 12:41:53,2018-06-28 12:41:56,3.005s,PASSED
"Statement - present = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementNotPresent(dynamicObject, 4, CONTINUE_ON_FAILURE)",Chrome 67.0.3396.99,,2018-06-28 12:41:56,2018-06-28 12:41:56,0.002s,PASSED
,,,,,,
Test Cases/Smoke Test/New_Create_List_Grid_Simple,Chrome 67.0.3396.99,,2018-06-28 12:41:56,2018-06-28 12:42:27,30.791s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-28 12:41:56,2018-06-28 12:41:56,0.032s,PASSED
"Statement - common = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Test Cases/Studio Smoke Test Cases/ReadExcel), [:])",Chrome 67.0.3396.99,,2018-06-28 12:41:56,2018-06-28 12:41:57,0.349s,PASSED
"Statement - form_id = common[""formID""]",Chrome 67.0.3396.99,,2018-06-28 12:41:57,2018-06-28 12:41:57,0.000s,PASSED
Statement - println(form_id),Chrome 67.0.3396.99,,2018-06-28 12:41:57,2018-06-28 12:41:57,0.016s,PASSED
"Statement - view_id = common[""viewID""]",Chrome 67.0.3396.99,,2018-06-28 12:41:57,2018-06-28 12:41:57,0.000s,PASSED
Statement - println(view_id),Chrome 67.0.3396.99,,2018-06-28 12:41:57,2018-06-28 12:41:57,0.000s,PASSED
click,Chrome 67.0.3396.99,,2018-06-28 12:41:57,2018-06-28 12:41:57,0.260s,PASSED
click,Chrome 67.0.3396.99,,2018-06-28 12:41:57,2018-06-28 12:41:57,0.193s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-28 12:41:57,2018-06-28 12:41:57,0.015s,PASSED
click,Chrome 67.0.3396.99,,2018-06-28 12:41:57,2018-06-28 12:42:00,3.438s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 12:42:00,2018-06-28 12:42:01,0.545s,PASSED
click,Chrome 67.0.3396.99,,2018-06-28 12:42:01,2018-06-28 12:42:01,0.197s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 12:42:01,2018-06-28 12:42:02,0.382s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-06-28 12:42:02,2018-06-28 12:42:02,0.318s,PASSED
click,Chrome 67.0.3396.99,,2018-06-28 12:42:02,2018-06-28 12:42:02,0.186s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 12:42:02,2018-06-28 12:42:03,0.507s,PASSED
delay,Chrome 67.0.3396.99,,2018-06-28 12:42:03,2018-06-28 12:42:13,10.002s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-06-28 12:42:13,2018-06-28 12:42:13,0.081s,PASSED
click,Chrome 67.0.3396.99,,2018-06-28 12:42:13,2018-06-28 12:42:13,0.146s,PASSED
"Statement - selectForm = ""//span[starts-with(text(), '"" + ""ACCOUNT_TABLE"" + ""')]""",Chrome 67.0.3396.99,,2018-06-28 12:42:13,2018-06-28 12:42:13,0.000s,PASSED
Statement - println(selectForm),Chrome 67.0.3396.99,,2018-06-28 12:42:13,2018-06-28 12:42:13,0.001s,PASSED
"Statement - dynamicObject = new com.kms.katalon.core.testobject.TestObject(selectForm).addProperty(""xpath"", EQUALS, selectForm, true)",Chrome 67.0.3396.99,,2018-06-28 12:42:13,2018-06-28 12:42:13,0.001s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-06-28 12:42:13,2018-06-28 12:42:13,0.670s,PASSED
doubleClick,Chrome 67.0.3396.99,,2018-06-28 12:42:13,2018-06-28 12:42:14,0.104s,PASSED
doubleClick,Chrome 67.0.3396.99,,2018-06-28 12:42:14,2018-06-28 12:42:14,0.152s,PASSED
