Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebService_Suite,Chrome 67.0.3396.99,,2018-07-26 16:01:39,2018-07-26 16:07:33,5m - 54.967s,FAILED
,,,,,,
Test Cases/Smoke Test/New WebService Connection,Chrome 67.0.3396.99,New_Create New Connection,2018-07-26 16:01:39,2018-07-26 16:03:28,1m - 49.271s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 16:01:40,2018-07-26 16:01:44,4.596s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-26 16:01:44,2018-07-26 16:01:45,1.194s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 16:01:45,2018-07-26 16:02:07,21.641s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 67.0.3396.99,,2018-07-26 16:02:07,2018-07-26 16:02:10,3.010s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 16:02:10,2018-07-26 16:02:10,0.369s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 16:02:10,2018-07-26 16:02:11,0.229s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 16:02:11,2018-07-26 16:02:12,1.697s,PASSED
Statement - returnVal_View = delete(),Chrome 67.0.3396.99,,2018-07-26 16:02:12,2018-07-26 16:02:12,0.006s,PASSED
"Statement - selectconn = ""(//span[contains(text(),'"" + com.kms.katalon.core.testdata.TestDataFactory.findTestData(Database).getValue(""Connection_Name"", 3) + ""')])[1]""",Chrome 67.0.3396.99,,2018-07-26 16:02:12,2018-07-26 16:02:13,0.702s,PASSED
Statement - println(selectconn),Chrome 67.0.3396.99,,2018-07-26 16:02:13,2018-07-26 16:02:13,0.011s,PASSED
"Statement - dynamicObject = new com.kms.katalon.core.testobject.TestObject(selectconn).addProperty(""xpath"", EQUALS, selectconn, true)",Chrome 67.0.3396.99,,2018-07-26 16:02:13,2018-07-26 16:02:13,0.017s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 16:02:13,2018-07-26 16:02:18,5.076s,PASSED
"Statement - present = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementNotPresent(dynamicObject, 4, CONTINUE_ON_FAILURE)",Chrome 67.0.3396.99,,2018-07-26 16:02:18,2018-07-26 16:02:23,4.877s,FAILED
"Statement - If (java.lang.String.valueOf(present) == ""false"")",Chrome 67.0.3396.99,,2018-07-26 16:02:23,2018-07-26 16:02:34,11.011s,PASSED
Statement - return done,Chrome 67.0.3396.99,,2018-07-26 16:02:34,2018-07-26 16:02:34,0.001s,PASSED
"Statement - println(""View "" + returnVal_View)",Chrome 67.0.3396.99,,2018-07-26 16:02:34,2018-07-26 16:02:34,0.002s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 16:02:34,2018-07-26 16:02:39,5.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 16:02:39,2018-07-26 16:02:39,0.159s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 16:02:39,2018-07-26 16:02:39,0.239s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 16:02:39,2018-07-26 16:02:42,3.004s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 16:02:42,2018-07-26 16:02:43,0.429s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 16:02:43,2018-07-26 16:02:43,0.207s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 16:02:43,2018-07-26 16:02:46,3.004s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 16:02:46,2018-07-26 16:02:47,0.587s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 16:02:47,2018-07-26 16:02:49,2.003s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-26 16:02:49,2018-07-26 16:02:49,0.003s,NOT_RUN
delay,Chrome 67.0.3396.99,,2018-07-26 16:02:49,2018-07-26 16:02:49,0.002s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-26 16:02:49,2018-07-26 16:02:49,0.194s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 16:02:49,2018-07-26 16:02:52,3.004s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 16:02:52,2018-07-26 16:02:52,0.219s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 16:02:52,2018-07-26 16:02:55,3.004s,PASSED
"Statement - dataSource = ""(//span[contains(text(),'"" + com.kms.katalon.core.testdata.TestDataFactory.findTestData(Database).getValue(""Connection_Name"", 3) + ""')])[1]""",Chrome 67.0.3396.99,,2018-07-26 16:02:55,2018-07-26 16:02:55,0.019s,PASSED
Statement - println(dataSource),Chrome 67.0.3396.99,,2018-07-26 16:02:55,2018-07-26 16:02:55,0.001s,PASSED
"Statement - dynamicObject = new com.kms.katalon.core.testobject.TestObject(dataSource).addProperty(""xpath"", EQUALS, dataSource, true)",Chrome 67.0.3396.99,,2018-07-26 16:02:55,2018-07-26 16:02:55,0.000s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-26 16:02:55,2018-07-26 16:02:55,0.087s,PASSED
rightClick,Chrome 67.0.3396.99,,2018-07-26 16:02:55,2018-07-26 16:02:55,0.142s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 16:02:55,2018-07-26 16:02:56,0.200s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 16:02:56,2018-07-26 16:02:58,2.005s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 16:02:58,2018-07-26 16:02:58,0.210s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 16:02:58,2018-07-26 16:03:00,2.002s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 16:03:00,2018-07-26 16:03:00,0.370s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 16:03:00,2018-07-26 16:03:01,0.436s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 16:03:01,2018-07-26 16:03:03,2.003s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-26 16:03:03,2018-07-26 16:03:03,0.000s,NOT_RUN
delay,Chrome 67.0.3396.99,,2018-07-26 16:03:03,2018-07-26 16:03:03,0.000s,NOT_RUN
setText,Chrome 67.0.3396.99,,2018-07-26 16:03:03,2018-07-26 16:03:03,0.320s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 16:03:03,2018-07-26 16:03:05,2.003s,PASSED
Statement - j = 3,Chrome 67.0.3396.99,,2018-07-26 16:03:05,2018-07-26 16:03:05,0.001s,PASSED
"Statement - For ([i = 1, i <= 3, (i++)])",Chrome 67.0.3396.99,,2018-07-26 16:03:05,2018-07-26 16:03:19,14.549s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 16:03:19,2018-07-26 16:03:21,2.004s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 16:03:21,2018-07-26 16:03:22,0.384s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 16:03:22,2018-07-26 16:03:25,3.002s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 16:03:25,2018-07-26 16:03:25,0.178s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 16:03:25,2018-07-26 16:03:28,3.004s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 16:03:28,2018-07-26 16:03:28,0.202s,PASSED
,,,,,,
Test Cases/Smoke Test/New WebService AppDesigner,Chrome 67.0.3396.99,New_Create New Connection,2018-07-26 16:03:28,2018-07-26 16:05:16,1m - 47.687s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 16:03:29,2018-07-26 16:03:33,4.144s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-26 16:03:33,2018-07-26 16:03:34,1.175s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 16:03:34,2018-07-26 16:03:56,21.668s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 67.0.3396.99,,2018-07-26 16:03:56,2018-07-26 16:03:59,3.017s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 16:03:59,2018-07-26 16:03:59,0.253s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 16:03:59,2018-07-26 16:03:59,0.188s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 16:03:59,2018-07-26 16:04:01,1.829s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 16:04:01,2018-07-26 16:04:04,3.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 16:04:04,2018-07-26 16:04:04,0.230s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 16:04:04,2018-07-26 16:04:07,3.003s,PASSED
Statement - appDel = delete(),Chrome 67.0.3396.99,,2018-07-26 16:04:07,2018-07-26 16:04:07,0.002s,PASSED
"Statement - selectconn = ""(//div[contains(text(),'AUTO_APP')])[1]""",Chrome 67.0.3396.99,,2018-07-26 16:04:07,2018-07-26 16:04:07,0.000s,PASSED
