Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Grid_Suite,Chrome 67.0.3396.99,,2018-06-29 11:52:18,2018-06-29 12:04:19,12m - 1.304s,FAILED
,,,,,,
Test Cases/Smoke Test/Delete Grid Views,Chrome 67.0.3396.99,,2018-06-29 11:52:19,2018-06-29 11:56:13,3m - 54.715s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-06-29 11:52:19,2018-06-29 11:52:24,4.774s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-06-29 11:52:24,2018-06-29 11:52:25,1.198s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-06-29 11:52:25,2018-06-29 11:52:47,21.675s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-29 11:52:47,2018-06-29 11:52:47,0.335s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-29 11:52:47,2018-06-29 11:52:48,0.193s,PASSED
click,Chrome 67.0.3396.99,,2018-06-29 11:52:48,2018-06-29 11:52:50,2.318s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-29 11:52:50,2018-06-29 11:52:50,0.149s,PASSED
click,Chrome 67.0.3396.99,,2018-06-29 11:52:50,2018-06-29 11:52:51,0.830s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-29 11:52:51,2018-06-29 11:52:51,0.018s,PASSED
Statement - returnVal_View = delete(5),Chrome 67.0.3396.99,,2018-06-29 11:52:51,2018-06-29 11:52:51,0.001s,PASSED
"Statement - path = ""D:\Sheepa\Katalon\Studio Smoke Test\Studio Smoke Test\Data Files\Grid_view_id.xls""",Chrome 67.0.3396.99,,2018-06-29 11:52:51,2018-06-29 11:52:51,0.001s,PASSED
Statement - fis = new java.io.FileInputStream(path),Chrome 67.0.3396.99,,2018-06-29 11:52:51,2018-06-29 11:52:51,0.012s,PASSED
Statement - hssfWorkbook = new org.apache.poi.hssf.usermodel.HSSFWorkbook(fis),Chrome 67.0.3396.99,,2018-06-29 11:52:51,2018-06-29 11:52:51,0.372s,PASSED
Statement - sc = hssfWorkbook.getNumberOfSheets(),Chrome 67.0.3396.99,,2018-06-29 11:52:51,2018-06-29 11:52:51,0.003s,PASSED
Statement - println(sc),Chrome 67.0.3396.99,,2018-06-29 11:52:51,2018-06-29 11:52:51,0.003s,PASSED
Statement - hssfSheet = hssfWorkbook.getSheetAt(0),Chrome 67.0.3396.99,,2018-06-29 11:52:51,2018-06-29 11:52:51,0.002s,PASSED
Statement - hssfRow = hssfSheet.getRow(1),Chrome 67.0.3396.99,,2018-06-29 11:52:51,2018-06-29 11:52:51,0.017s,PASSED
"Statement - For ([i = 0, i <= j, (i++)])",Chrome 67.0.3396.99,,2018-06-29 11:52:51,2018-06-29 11:54:39,1m - 47.891s,FAILED
Statement - return done,Chrome 67.0.3396.99,,2018-06-29 11:54:39,2018-06-29 11:54:39,0.002s,PASSED
"Statement - println(""View "" + returnVal_View)",Chrome 67.0.3396.99,,2018-06-29 11:54:39,2018-06-29 11:54:39,0.005s,PASSED
delay,Chrome 67.0.3396.99,,2018-06-29 11:54:39,2018-06-29 11:54:44,5.003s,PASSED
click,Chrome 67.0.3396.99,,2018-06-29 11:54:44,2018-06-29 11:54:45,0.336s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-29 11:54:45,2018-06-29 11:54:45,0.041s,PASSED
Statement - returnVal_App = deleteApp(6),Chrome 67.0.3396.99,,2018-06-29 11:54:45,2018-06-29 11:54:45,0.002s,PASSED
"Statement - path = ""D:\Sheepa\Katalon\Studio Smoke Test\Studio Smoke Test\Data Files\Grid_view_id.xls""",Chrome 67.0.3396.99,,2018-06-29 11:54:45,2018-06-29 11:54:45,0.005s,PASSED
Statement - fis = new java.io.FileInputStream(path),Chrome 67.0.3396.99,,2018-06-29 11:54:45,2018-06-29 11:54:45,0.003s,PASSED
Statement - hssfWorkbook = new org.apache.poi.hssf.usermodel.HSSFWorkbook(fis),Chrome 67.0.3396.99,,2018-06-29 11:54:45,2018-06-29 11:54:45,0.004s,PASSED
Statement - sc = hssfWorkbook.getNumberOfSheets(),Chrome 67.0.3396.99,,2018-06-29 11:54:45,2018-06-29 11:54:45,0.002s,PASSED
Statement - println(sc),Chrome 67.0.3396.99,,2018-06-29 11:54:45,2018-06-29 11:54:45,0.001s,PASSED
Statement - hssfSheet = hssfWorkbook.getSheetAt(0),Chrome 67.0.3396.99,,2018-06-29 11:54:45,2018-06-29 11:54:45,0.001s,PASSED
Statement - hssfRow = hssfSheet.getRow(1),Chrome 67.0.3396.99,,2018-06-29 11:54:45,2018-06-29 11:54:45,0.001s,PASSED
"Statement - For ([i = 0, i <= j, (i++)])",Chrome 67.0.3396.99,,2018-06-29 11:54:45,2018-06-29 11:56:07,1m - 22.140s,FAILED
Statement - return done,Chrome 67.0.3396.99,,2018-06-29 11:56:07,2018-06-29 11:56:07,0.000s,PASSED
"Statement - println(""App "" + returnVal_App)",Chrome 67.0.3396.99,,2018-06-29 11:56:07,2018-06-29 11:56:07,0.000s,PASSED
delay,Chrome 67.0.3396.99,,2018-06-29 11:56:07,2018-06-29 11:56:10,3.001s,PASSED
click,Chrome 67.0.3396.99,,2018-06-29 11:56:10,2018-06-29 11:56:10,0.356s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-29 11:56:10,2018-06-29 11:56:10,0.076s,PASSED
Statement - returnVal_WS = deleteWS(),Chrome 67.0.3396.99,,2018-06-29 11:56:10,2018-06-29 11:56:10,0.000s,PASSED
"Statement - path = ""D:\Sheepa\Katalon\Studio Smoke Test\Studio Smoke Test\Data Files\Grid_view_id.xls""",Chrome 67.0.3396.99,,2018-06-29 11:56:10,2018-06-29 11:56:10,0.001s,PASSED
Statement - fis = new java.io.FileInputStream(path),Chrome 67.0.3396.99,,2018-06-29 11:56:10,2018-06-29 11:56:10,0.002s,PASSED
Statement - hssfWorkbook = new org.apache.poi.hssf.usermodel.HSSFWorkbook(fis),Chrome 67.0.3396.99,,2018-06-29 11:56:10,2018-06-29 11:56:10,0.012s,PASSED
Statement - sc = hssfWorkbook.getNumberOfSheets(),Chrome 67.0.3396.99,,2018-06-29 11:56:10,2018-06-29 11:56:10,0.001s,PASSED
Statement - println(sc),Chrome 67.0.3396.99,,2018-06-29 11:56:10,2018-06-29 11:56:10,0.001s,PASSED
Statement - hssfSheet = hssfWorkbook.getSheetAt(0),Chrome 67.0.3396.99,,2018-06-29 11:56:10,2018-06-29 11:56:10,0.000s,PASSED
Statement - hssfRow = hssfSheet.getRow(1),Chrome 67.0.3396.99,,2018-06-29 11:56:10,2018-06-29 11:56:10,0.001s,PASSED
Statement - id = hssfRow.getCell(6),Chrome 67.0.3396.99,,2018-06-29 11:56:10,2018-06-29 11:56:10,0.001s,PASSED
"Statement - selectWS = ""//span[contains(text(),'"" + id + ""')]""",Chrome 67.0.3396.99,,2018-06-29 11:56:10,2018-06-29 11:56:10,0.001s,PASSED
Statement - println(selectWS),Chrome 67.0.3396.99,,2018-06-29 11:56:10,2018-06-29 11:56:10,0.001s,PASSED
"Statement - ws = new com.kms.katalon.core.testobject.TestObject(selectWS).addProperty(""xpath"", EQUALS, selectWS, true)",Chrome 67.0.3396.99,,2018-06-29 11:56:10,2018-06-29 11:56:10,0.001s,PASSED
delay,Chrome 67.0.3396.99,,2018-06-29 11:56:10,2018-06-29 11:56:13,3.012s,PASSED
"Statement - present = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementNotPresent(ws, 4, CONTINUE_ON_FAILURE)",Chrome 67.0.3396.99,,2018-06-29 11:56:13,2018-06-29 11:56:13,0.056s,PASSED
"Statement - If (java.lang.String.valueOf(present) == ""false"")",Chrome 67.0.3396.99,,2018-06-29 11:56:13,2018-06-29 11:56:13,0.001s,PASSED
Statement - Else,Chrome 67.0.3396.99,,2018-06-29 11:56:13,2018-06-29 11:56:13,0.002s,PASSED
Statement - return done,Chrome 67.0.3396.99,,2018-06-29 11:56:13,2018-06-29 11:56:13,0.001s,PASSED
"Statement - println(""WS "" + returnVal_WS)",Chrome 67.0.3396.99,,2018-06-29 11:56:13,2018-06-29 11:56:13,0.000s,PASSED
,,,,,,
Test Cases/Smoke Test/New_Create_List_Grid_Simple,Chrome 67.0.3396.99,,2018-06-29 11:56:13,2018-06-29 11:56:47,33.462s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-29 11:56:14,2018-06-29 11:56:14,0.191s,PASSED
"Statement - common = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Test Cases/Studio Smoke Test Cases/ReadExcel), [:])",Chrome 67.0.3396.99,,2018-06-29 11:56:14,2018-06-29 11:56:14,0.517s,PASSED
"Statement - form_id = common[""formID""]",Chrome 67.0.3396.99,,2018-06-29 11:56:14,2018-06-29 11:56:14,0.000s,PASSED
Statement - println(form_id),Chrome 67.0.3396.99,,2018-06-29 11:56:14,2018-06-29 11:56:14,0.000s,PASSED
"Statement - view_id = common[""viewID""]",Chrome 67.0.3396.99,,2018-06-29 11:56:14,2018-06-29 11:56:14,0.000s,PASSED
Statement - println(view_id),Chrome 67.0.3396.99,,2018-06-29 11:56:14,2018-06-29 11:56:14,0.000s,PASSED
click,Chrome 67.0.3396.99,,2018-06-29 11:56:14,2018-06-29 11:56:15,0.251s,PASSED
click,Chrome 67.0.3396.99,,2018-06-29 11:56:15,2018-06-29 11:56:15,0.206s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-29 11:56:15,2018-06-29 11:56:15,0.053s,PASSED
click,Chrome 67.0.3396.99,,2018-06-29 11:56:15,2018-06-29 11:56:19,4.470s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-29 11:56:19,2018-06-29 11:56:20,0.586s,PASSED
click,Chrome 67.0.3396.99,,2018-06-29 11:56:20,2018-06-29 11:56:20,0.192s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-29 11:56:20,2018-06-29 11:56:21,0.467s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-06-29 11:56:21,2018-06-29 11:56:21,0.369s,PASSED
click,Chrome 67.0.3396.99,,2018-06-29 11:56:21,2018-06-29 11:56:21,0.232s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-29 11:56:21,2018-06-29 11:56:22,0.569s,PASSED
delay,Chrome 67.0.3396.99,,2018-06-29 11:56:22,2018-06-29 11:56:32,10.003s,PASSED
