Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Grid_Suite,Chrome 67.0.3396.99,,2018-06-27 15:34:48,2018-06-27 15:39:20,4m - 32.067s,FAILED
,,,,,,
Test Cases/Smoke Test/Delete Grid Views,Chrome 67.0.3396.99,,2018-06-27 15:34:49,2018-06-27 15:35:32,43.426s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-06-27 15:34:50,2018-06-27 15:34:57,7.179s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-06-27 15:34:57,2018-06-27 15:34:58,1.225s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-06-27 15:34:58,2018-06-27 15:35:20,21.632s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 15:35:20,2018-06-27 15:35:20,0.318s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 15:35:20,2018-06-27 15:35:20,0.200s,PASSED
click,Chrome 67.0.3396.99,,2018-06-27 15:35:20,2018-06-27 15:35:22,1.705s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-27 15:35:22,2018-06-27 15:35:22,0.441s,PASSED
click,Chrome 67.0.3396.99,,2018-06-27 15:35:22,2018-06-27 15:35:23,0.758s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-27 15:35:23,2018-06-27 15:35:23,0.016s,PASSED
Statement - returnVal_View = delete(5),Chrome 67.0.3396.99,,2018-06-27 15:35:23,2018-06-27 15:35:23,0.001s,PASSED
"Statement - path = ""D:\Sheepa\Katalon\Studio Smoke Test\Studio Smoke Test\Data Files\Grid_view_id.xls""",Chrome 67.0.3396.99,,2018-06-27 15:35:23,2018-06-27 15:35:23,0.001s,PASSED
Statement - fis = new java.io.FileInputStream(path),Chrome 67.0.3396.99,,2018-06-27 15:35:23,2018-06-27 15:35:23,0.009s,PASSED
Statement - hssfWorkbook = new org.apache.poi.hssf.usermodel.HSSFWorkbook(fis),Chrome 67.0.3396.99,,2018-06-27 15:35:23,2018-06-27 15:35:23,0.316s,PASSED
Statement - sc = hssfWorkbook.getNumberOfSheets(),Chrome 67.0.3396.99,,2018-06-27 15:35:23,2018-06-27 15:35:23,0.003s,PASSED
Statement - println(sc),Chrome 67.0.3396.99,,2018-06-27 15:35:23,2018-06-27 15:35:23,0.006s,PASSED
Statement - hssfSheet = hssfWorkbook.getSheetAt(0),Chrome 67.0.3396.99,,2018-06-27 15:35:23,2018-06-27 15:35:23,0.002s,PASSED
Statement - hssfRow = hssfSheet.getRow(1),Chrome 67.0.3396.99,,2018-06-27 15:35:23,2018-06-27 15:35:23,0.080s,PASSED
"Statement - For ([i = 0, i <= j, (i++)])",Chrome 67.0.3396.99,,2018-06-27 15:35:23,2018-06-27 15:35:25,1.355s,PASSED
Statement - return done,Chrome 67.0.3396.99,,2018-06-27 15:35:25,2018-06-27 15:35:25,0.001s,PASSED
"Statement - println(""View "" + returnVal_View)",Chrome 67.0.3396.99,,2018-06-27 15:35:25,2018-06-27 15:35:25,0.001s,PASSED
delay,Chrome 67.0.3396.99,,2018-06-27 15:35:25,2018-06-27 15:35:30,5.035s,PASSED
click,Chrome 67.0.3396.99,,2018-06-27 15:35:30,2018-06-27 15:35:30,0.233s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-27 15:35:30,2018-06-27 15:35:30,0.026s,PASSED
Statement - returnVal_App = delete(6),Chrome 67.0.3396.99,,2018-06-27 15:35:30,2018-06-27 15:35:30,0.001s,PASSED
"Statement - path = ""D:\Sheepa\Katalon\Studio Smoke Test\Studio Smoke Test\Data Files\Grid_view_id.xls""",Chrome 67.0.3396.99,,2018-06-27 15:35:30,2018-06-27 15:35:30,0.001s,PASSED
Statement - fis = new java.io.FileInputStream(path),Chrome 67.0.3396.99,,2018-06-27 15:35:30,2018-06-27 15:35:30,0.001s,PASSED
Statement - hssfWorkbook = new org.apache.poi.hssf.usermodel.HSSFWorkbook(fis),Chrome 67.0.3396.99,,2018-06-27 15:35:30,2018-06-27 15:35:30,0.007s,PASSED
Statement - sc = hssfWorkbook.getNumberOfSheets(),Chrome 67.0.3396.99,,2018-06-27 15:35:30,2018-06-27 15:35:30,0.001s,PASSED
Statement - println(sc),Chrome 67.0.3396.99,,2018-06-27 15:35:30,2018-06-27 15:35:30,0.001s,PASSED
Statement - hssfSheet = hssfWorkbook.getSheetAt(0),Chrome 67.0.3396.99,,2018-06-27 15:35:30,2018-06-27 15:35:30,0.001s,PASSED
Statement - hssfRow = hssfSheet.getRow(1),Chrome 67.0.3396.99,,2018-06-27 15:35:30,2018-06-27 15:35:30,0.001s,PASSED
"Statement - For ([i = 0, i <= j, (i++)])",Chrome 67.0.3396.99,,2018-06-27 15:35:30,2018-06-27 15:35:32,2.168s,PASSED
Statement - return done,Chrome 67.0.3396.99,,2018-06-27 15:35:32,2018-06-27 15:35:32,0.000s,PASSED
"Statement - println(""App "" + returnVal_App)",Chrome 67.0.3396.99,,2018-06-27 15:35:32,2018-06-27 15:35:32,0.000s,PASSED
,,,,,,
Test Cases/Smoke Test/New_Create_List_Grid_Simple,Chrome 67.0.3396.99,,2018-06-27 15:35:32,2018-06-27 15:36:06,33.414s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-27 15:35:33,2018-06-27 15:35:33,0.295s,PASSED
"Statement - common = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Test Cases/Studio Smoke Test Cases/ReadExcel), [:])",Chrome 67.0.3396.99,,2018-06-27 15:35:33,2018-06-27 15:35:34,1.156s,PASSED
"Statement - form_id = common[""formID""]",Chrome 67.0.3396.99,,2018-06-27 15:35:34,2018-06-27 15:35:34,0.000s,PASSED
Statement - println(form_id),Chrome 67.0.3396.99,,2018-06-27 15:35:34,2018-06-27 15:35:35,0.553s,PASSED
"Statement - view_id = common[""viewID""]",Chrome 67.0.3396.99,,2018-06-27 15:35:35,2018-06-27 15:35:35,0.000s,PASSED
Statement - println(view_id),Chrome 67.0.3396.99,,2018-06-27 15:35:35,2018-06-27 15:35:35,0.000s,PASSED
click,Chrome 67.0.3396.99,,2018-06-27 15:35:35,2018-06-27 15:35:35,0.207s,PASSED
click,Chrome 67.0.3396.99,,2018-06-27 15:35:35,2018-06-27 15:35:35,0.278s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-06-27 15:35:35,2018-06-27 15:35:35,0.019s,PASSED
click,Chrome 67.0.3396.99,,2018-06-27 15:35:35,2018-06-27 15:35:39,3.436s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 15:35:39,2018-06-27 15:35:39,0.608s,PASSED
click,Chrome 67.0.3396.99,,2018-06-27 15:35:39,2018-06-27 15:35:39,0.312s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 15:35:39,2018-06-27 15:35:40,0.519s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-06-27 15:35:40,2018-06-27 15:35:40,0.451s,PASSED
click,Chrome 67.0.3396.99,,2018-06-27 15:35:40,2018-06-27 15:35:41,0.227s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 15:35:41,2018-06-27 15:35:41,0.568s,PASSED
delay,Chrome 67.0.3396.99,,2018-06-27 15:35:41,2018-06-27 15:35:51,10.004s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-06-27 15:35:51,2018-06-27 15:35:51,0.172s,PASSED
click,Chrome 67.0.3396.99,,2018-06-27 15:35:51,2018-06-27 15:35:52,0.176s,PASSED
"Statement - selectForm = ""//span[starts-with(text(), '"" + ""ACCOUNT_TABLE"" + ""')]""",Chrome 67.0.3396.99,,2018-06-27 15:35:52,2018-06-27 15:35:52,0.002s,PASSED
Statement - println(selectForm),Chrome 67.0.3396.99,,2018-06-27 15:35:52,2018-06-27 15:35:52,0.001s,PASSED
"Statement - dynamicObject = new com.kms.katalon.core.testobject.TestObject(selectForm).addProperty(""xpath"", EQUALS, selectForm, true)",Chrome 67.0.3396.99,,2018-06-27 15:35:52,2018-06-27 15:35:52,0.001s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-06-27 15:35:52,2018-06-27 15:35:52,0.711s,PASSED
doubleClick,Chrome 67.0.3396.99,,2018-06-27 15:35:52,2018-06-27 15:35:52,0.175s,PASSED
doubleClick,Chrome 67.0.3396.99,,2018-06-27 15:35:52,2018-06-27 15:35:53,0.095s,PASSED
delay,Chrome 67.0.3396.99,,2018-06-27 15:35:53,2018-06-27 15:35:56,3.003s,PASSED
click,Chrome 67.0.3396.99,,2018-06-27 15:35:56,2018-06-27 15:35:56,0.202s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-06-27 15:35:56,2018-06-27 15:35:56,0.265s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-06-27 15:35:56,2018-06-27 15:35:56,0.394s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-06-27 15:35:56,2018-06-27 15:35:57,0.221s,PASSED
delay,Chrome 67.0.3396.99,,2018-06-27 15:35:57,2018-06-27 15:36:00,3.005s,PASSED
click,Chrome 67.0.3396.99,,2018-06-27 15:36:00,2018-06-27 15:36:00,0.234s,PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 15:36:00,2018-06-27 15:36:00,0.499s,PASSED
delay,Chrome 67.0.3396.99,,2018-06-27 15:36:00,2018-06-27 15:36:03,3.002s,PASSED
click,Chrome 67.0.3396.99,,2018-06-27 15:36:03,2018-06-27 15:36:04,0.350s,PASSED
click,Chrome 67.0.3396.99,,2018-06-27 15:36:04,2018-06-27 15:36:06,1.932s,PASSED
,,,,,,
Test Cases/Smoke Test/New_Create_List_Grid_Property,Chrome 67.0.3396.99,,2018-06-27 15:36:06,2018-06-27 15:36:21,15.541s,PASSED
"Statement - common = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Test Cases/Studio Smoke Test Cases/ReadExcel), [:])",Chrome 67.0.3396.99,,2018-06-27 15:36:06,2018-06-27 15:36:06,0.184s,PASSED
"Statement - form_id = common[""formID""]",Chrome 67.0.3396.99,,2018-06-27 15:36:06,2018-06-27 15:36:06,0.000s,PASSED
