Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebService_Suite,Chrome 67.0.3396.99,,2018-07-26 10:24:47,2018-07-26 10:29:21,4m - 34.561s,FAILED
,,,,,,
Test Cases/Smoke Test/New WebService Connection,Chrome 67.0.3396.99,New_Create New Connection,2018-07-26 10:24:47,2018-07-26 10:26:27,1m - 39.715s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 10:24:48,2018-07-26 10:24:57,9.475s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-26 10:24:57,2018-07-26 10:24:59,1.243s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 10:24:59,2018-07-26 10:25:21,22.637s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 67.0.3396.99,,2018-07-26 10:25:21,2018-07-26 10:25:24,3.006s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 10:25:24,2018-07-26 10:25:25,0.550s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 10:25:25,2018-07-26 10:25:25,0.321s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 10:25:25,2018-07-26 10:25:27,1.764s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 10:25:27,2018-07-26 10:25:28,1.435s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 10:25:28,2018-07-26 10:25:29,0.416s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 10:25:29,2018-07-26 10:25:32,3.048s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 10:25:32,2018-07-26 10:25:34,1.676s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 10:25:34,2018-07-26 10:25:34,0.245s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 10:25:34,2018-07-26 10:25:37,3.004s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 10:25:37,2018-07-26 10:25:38,0.681s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 10:25:38,2018-07-26 10:25:40,2.014s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-26 10:25:40,2018-07-26 10:25:40,0.741s,FAILED
delay,Chrome 67.0.3396.99,,2018-07-26 10:25:40,2018-07-26 10:25:43,3.002s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 10:25:43,2018-07-26 10:25:43,0.176s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 10:25:43,2018-07-26 10:25:46,3.008s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 10:25:46,2018-07-26 10:25:47,0.172s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-26 10:25:47,2018-07-26 10:25:50,3.004s,PASSED
"Statement - dataSource = ""(//span[contains(text(),'"" + com.kms.katalon.core.testdata.TestDataFactory.findTestData(Database).getValue(""Connection_Name"", 3) + ""')])[1]""",Chrome 67.0.3396.99,,2018-07-26 10:25:50,2018-07-26 10:25:50,0.019s,PASSED
Statement - println(dataSource),Chrome 67.0.3396.99,,2018-07-26 10:25:50,2018-07-26 10:25:50,0.015s,PASSED
